GeneSymbol,Human-Patient-Sample 1,Human-Patient-Sample 2,Human-Patient-Sample 3,Human-Patient-Sample 4,Human-Patient-Sample 5,Human-Patient-Sample 6,Human-Patient-Sample 7,Human-Patient-Sample 8
ACTB,1500.0,1400.5,1550.1,1600.0,1480.6,1350.9,1580.2,1490.4  
GAPDH,1305.2,1289.7,1350.0,1401.3,1250.8,1201.4,1300.6,1275.9  
HMOX1,10.5,12.0,9.8,11.3,50.2,48.1,53.7,60.0  
NFE2L2,20.3,18.7,22.1,19.5,45.0,40.8,50.2,47.9  
SOD2,85.0,79.4,90.1,88.7,120.5,130.2,115.9,122.0  
IL6,12.7,14.2,13.5,15.0,55.1,60.0,58.4,62.2  
TNF,6.5,5.9,7.2,6.8,25.4,27.1,23.9,26.3  
CXCL8,8.2,9.1,7.9,10.0,45.7,48.2,50.1,52.0  
VEGFA,50.1,48.9,52.3,49.7,110.5,108.7,115.4,120.2  
MT-CO1,890.5,870.3,900.8,880.0,950.7,940.5,960.1,970.4  
TP53,30.2,28.7,32.1,31.5,70.5,68.2,74.0,72.1  
MYC,100.5,105.2,98.7,110.1,145.0,150.3,140.2,148.7  
JUN,60.3,62.1,59.8,61.0,95.0,100.2,97.1,105.0  
FOS,75.5,72.3,80.4,78.6,125.5,130.1,120.3,127.9  
STAT3,15.7,17.5,14.9,16.1,35.8,40.1,38.9,42.3  
CD44,300.1,310.7,320.5,290.0,400.2,380.5,420.3,410.1  
CDKN1A,12.4,11.8,13.1,14.0,48.7,50.5,55.0,53.9  
MMP9,80.3,82.5,79.1,81.4,130.6,140.2,135.7,138.0  
CCL2,9.8,8.5,10.3,9.2,47.5,50.1,49.0,51.2  
ICAM1,50.6,55.2,48.9,52.4,105.3,110.4,115.6,112.8  
